,date,state,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_isolation,positive_total,change_in_total_positives,new_positives,recovered_discharged,deaths,diagnostic_suspected_cases,screening_cases,cases_total,swabs,tested_cases,notes,intensive_care_admissions,test_notes,case_notes,total_positive_molecular_test,rapid_antigen_test_positive_total,molecular_test_swabs,rapid_antigen_test_swabs
532,2021-08-09T17:00:00,ITA,2786,323,3109,111746,114855,2589,4200,4157520,128242,,,4400617,79277767,31411098.0,,39.0,,,4241413.0,159204.0,55225285.0,24052482.0
533,2021-08-10T17:00:00,ITA,2880,322,3202,113121,116323,1468,5636,4161645,128273,,,4406241,79519533,31467678.0,,26.0,,,4246602.0,159639.0,55314248.0,24205285.0
534,2021-08-11T17:00:00,ITA,2948,337,3285,115476,118761,2438,6968,4166095,128304,,,4413162,79749572,31523180.0,,40.0,,,4253264.0,159898.0,55419637.0,24329935.0
535,2021-08-12T17:00:00,ITA,2975,352,3327,117958,121285,2524,7270,4170810,128334,,,4420429,79966541,31576587.0,,37.0,,,4260336.0,160093.0,55513139.0,24453402.0
536,2021-08-13T17:00:00,ITA,3033,369,3402,120848,124250,2965,7409,4175198,128379,,,4427827,80192027,31631342.0,,35.0,,,4267344.0,160483.0,55608773.0,24583254.0
537,2021-08-14T17:00:00,ITA,3101,372,3473,122993,126466,2216,7188,4180129,128413,,,4435008,80446033,31691084.0,,37.0,,,4274315.0,160693.0,55698982.0,24747051.0
538,2021-08-15T17:00:00,ITA,3162,384,3546,124982,128528,2062,5664,4183709,128432,,,4440669,80606903,31732915.0,,29.0,,,4279835.0,160834.0,55763772.0,24843131.0
539,2021-08-16T17:00:00,ITA,3334,404,3738,124958,128696,168,3674,4187186,128456,,,4444338,80680924,31753974.0,,32.0,,,4283503.0,160835.0,55801186.0,24879738.0
540,2021-08-17T17:00:00,ITA,3472,423,3895,125221,129116,420,5273,4191980,128510,,,4449606,80918997,31805240.0,,49.0,,,4288619.0,160987.0,55887829.0,25031168.0
541,2021-08-18T17:00:00,ITA,3559,442,4001,124781,128782,-334,7162,4199404,128579,,,4456765,81145420,31861792.0,,50.0,,,4295456.0,161309.0,55987914.0,25157506.0
542,2021-08-19T17:00:00,ITA,3627,460,4087,126415,130502,1720,7260,4204869,128634,,,4464005,81351951,31914369.0,,40.0,,,4302436.0,161569.0,56076867.0,25275084.0
543,2021-08-20T17:00:00,ITA,3692,455,4147,127315,131462,960,7224,4211080,128683,,,4471225,81572607,31964840.0,,26.0,,,4309435.0,161790.0,56162599.0,25410008.0
544,2021-08-21T17:00:00,ITA,3733,466,4199,129222,133421,1959,7470,4216542,128728,,,4478691,81827825,32024485.0,,40.0,,,4316649.0,162042.0,56252852.0,25574973.0
545,2021-08-22T17:00:00,ITA,3767,472,4239,130699,134938,1517,5923,4220924,128751,,,4484613,82003364,32072928.0,,33.0,,,4322377.0,162236.0,56322084.0,25681280.0
546,2021-08-23T17:00:00,ITA,3928,485,4413,131142,135555,617,4168,4224429,128795,,,4488779,82104705,32098419.0,,45.0,,,4326430.0,162349.0,56364064.0,25740641.0
547,2021-08-24T17:00:00,ITA,4036,504,4540,130785,135325,-230,6076,4230677,128855,,,4494857,82370951,32155807.0,,46.0,,,4332200.0,162657.0,56461924.0,25909027.0
548,2021-08-25T17:00:00,ITA,4023,499,4522,131202,135724,399,7548,4237758,128914,,,4502396,82615371,32214570.0,,34.0,,,4339465.0,162931.0,56574161.0,26041210.0
549,2021-08-26T17:00:00,ITA,4059,503,4562,132495,137057,1333,7221,4243597,128957,,,4509611,82836243,32268573.0,,38.0,,,4346619.0,162992.0,56670393.0,26165850.0
550,2021-08-27T17:00:00,ITA,4114,511,4625,133493,138118,1061,7826,4250314,129002,,,4517434,83101723,32326275.0,,42.0,,,4354207.0,163227.0,56770912.0,26330811.0
551,2021-08-28T17:00:00,ITA,4111,511,4622,134806,139428,1310,6860,4255808,129056,,,4524292,83395187,32388723.0,,42.0,,,4360590.0,163702.0,56866439.0,26528748.0
552,2021-08-29T17:00:00,ITA,4133,525,4658,136389,141047,1619,5959,4260106,129093,,,4530246,83618273,32444844.0,,44.0,,,4366367.0,163879.0,56947693.0,26670580.0
553,2021-08-30T17:00:00,ITA,4264,548,4812,136581,141393,346,4257,4263960,129146,,,4534499,83728076,32474220.0,,50.0,,,4370535.0,163964.0,56997959.0,26730117.0
554,2021-08-31T17:00:00,ITA,4252,544,4796,133129,137925,-3468,5498,4272845,129221,,,4539991,84035719,32537606.0,,49.0,,,4375509.0,164482.0,57111626.0,26924093.0
555,2021-09-01T17:00:00,ITA,4231,540,4771,131807,136578,-1347,6503,4280619,129290,,,4546487,84339436,32605657.0,,40.0,,,4381723.0,164764.0,57232920.0,27106516.0
556,2021-09-02T17:00:00,ITA,4205,555,4760,132138,136898,320,6761,4286991,129352,,,4553241,84632503,32673083.0,,49.0,,,4388042.0,165199.0,57350136.0,27282367.0
557,2021-09-03T17:00:00,ITA,4164,556,4720,132305,137025,127,6735,4293535,129410,,,4559970,84928897,32736593.0,,42.0,,,4394591.0,165379.0,57475534.0,27453363.0
558,2021-09-04T17:00:00,ITA,4204,569,4773,132266,137039,14,6157,4299621,129466,,,4566126,85260247,32807288.0,,53.0,,,4400397.0,165729.0,57568980.0,27691267.0
559,2021-09-05T17:00:00,ITA,4216,572,4788,131914,136702,-337,5315,4305223,129515,,,4571440,85520003,32868817.0,,37.0,,,4405560.0,165880.0,57647826.0,27872177.0
560,2021-09-06T17:00:00,ITA,4302,570,4872,131148,136020,-682,3361,4309200,129567,,,4574787,85654396,32897713.0,,32.0,,,4408937.0,165850.0,57696131.0,27958265.0
561,2021-09-07T17:00:00,ITA,4307,563,4870,128917,133787,-2233,4720,4316077,129638,,,4579502,85973261,32963747.0,,40.0,,,4413189.0,166313.0,57802636.0,28170625.0
562,2021-09-08T17:00:00,ITA,4235,564,4799,126782,131581,-2206,5923,4324135,129707,,,4585423,86275241,33029381.0,,38.0,,,4418912.0,166511.0,57934218.0,28341023.0
563,2021-09-09T17:00:00,ITA,4230,558,4788,125130,129918,-1663,5522,4331257,129766,,,4590941,86566709,33089916.0,,38.0,,,4424247.0,166694.0,58047899.0,28518810.0
564,2021-09-10T17:00:00,ITA,4164,548,4712,123777,128489,-1429,5621,4338241,129828,,,4596558,86852737,33147401.0,,37.0,,,4429624.0,166934.0,58154366.0,28698371.0
565,2021-09-11T17:00:00,ITA,4117,547,4664,122962,127626,-863,5193,4344238,129885,,,4601749,87186478,33214819.0,,40.0,,,4434566.0,167183.0,58258247.0,28928231.0
566,2021-09-12T17:00:00,ITA,4113,559,4672,122662,127334,-292,4664,4349160,129919,,,4606413,87453836,33273371.0,,36.0,,,4439082.0,167331.0,58348470.0,29105366.0
567,2021-09-13T17:00:00,ITA,4200,563,4763,121141,125904,-1430,2800,4353346,129955,,,4609205,87573881,33300869.0,,35.0,,,4441836.0,167369.0,58398719.0,29175162.0
568,2021-09-14T17:00:00,ITA,4165,554,4719,117621,122340,-3564,4021,4360847,130027,,,4613214,87892474,33365842.0,,29.0,,,4445492.0,167722.0,58507212.0,29385262.0
569,2021-09-15T17:00:00,ITA,4128,540,4668,113819,118487,-3853,4830,4369453,130100,,,4618040,88210140,33423482.0,,32.0,,,4450037.0,168003.0,58633294.0,29576846.0
570,2021-09-16T17:00:00,ITA,4018,531,4549,111793,116342,-2145,5117,4376646,130167,,,4623155,88516407,33481704.0,,30.0,,,4454844.0,168311.0,58745788.0,29770619.0
571,2021-09-17T17:00:00,ITA,3989,525,4514,109757,114271,-2071,4552,4383195,130233,,,4627699,88800986,33536784.0,,34.0,,,4459202.0,168497.0,58845032.0,29955954.0
572,2021-09-18T17:00:00,ITA,3958,519,4477,108563,113040,-1231,4578,4388951,130284,,,4632275,89156919,33604895.0,,31.0,,,4463482.0,168793.0,58960530.0,30196389.0
573,2021-09-19T17:00:00,ITA,3929,530,4459,109077,113536,496,3838,4392265,130310,,,4636111,89420490,33659395.0,,40.0,,,4467105.0,169006.0,59041923.0,30378567.0
574,2021-09-20T17:00:00,ITA,3982,523,4505,108009,112514,-1022,2407,4395648,130354,,,4638516,89542931,33686794.0,,21.0,,,4469422.0,169094.0,59091430.0,30451501.0
575,2021-09-21T17:00:00,ITA,3937,516,4453,105060,109513,-3001,3377,4401956,130421,,,4641890,89873206,33746053.0,,38.0,,,4472447.0,169443.0,59203516.0,30669690.0
576,2021-09-22T17:00:00,ITA,3796,513,4309,102250,106559,-2954,3970,4408806,130488,,,4645853,90166078,33802623.0,,40.0,,,4476186.0,169667.0,59327279.0,30838799.0
577,2021-09-23T17:00:00,ITA,3650,505,4155,100928,105083,-1476,4061,4414272,130551,,,4649906,90477853,33860806.0,,30.0,,,4479995.0,169911.0,59440447.0,31037406.0
578,2021-09-24T17:00:00,ITA,3553,489,4042,99514,103556,-1527,3797,4419537,130603,,,4653696,90765140,33916870.0,,35.0,,,4483531.0,170165.0,59546939.0,31218201.0
579,2021-09-25T17:00:00,ITA,3497,481,3978,98596,102574,-982,3525,4423988,130653,,,4657215,91122631,33983005.0,,26.0,,,4486819.0,170396.0,59652090.0,31470541.0
580,2021-09-26T17:00:00,ITA,3435,483,3918,98326,102244,-330,3099,4427373,130697,,,4660314,91398852,34041736.0,,22.0,,,4489787.0,170527.0,59739534.0,31659318.0
581,2021-09-27T17:00:00,ITA,3487,488,3975,97105,101080,-1164,1772,4430265,130742,,,4662087,91522929,34067918.0,,29.0,,,4491477.0,170610.0,59787712.0,31735217.0
582,2021-09-28T17:00:00,ITA,3418,459,3877,94995,98872,-2208,2985,4435370,130807,,,4665049,91861354,34132266.0,,19.0,,,4494108.0,170941.0,59905325.0,31956029.0
583,2021-09-29T17:00:00,ITA,3317,450,3767,92212,95979,-2893,3212,4441412,130870,,,4668261,92156806,34191218.0,,23.0,,,4497094.0,171167.0,60028656.0,32128150.0
584,2021-09-30T17:00:00,ITA,3198,440,3638,90670,94308,-1671,3804,4447126,130921,,,4672355,92465642,34253561.0,,26.0,,,4500976.0,171379.0,60150908.0,32314734.0
585,2021-10-01T17:00:00,ITA,3118,429,3547,90105,93652,-656,3405,4451133,130973,,,4675758,92759111,34310886.0,,20.0,,,4504170.0,171588.0,60259807.0,32499304.0
586,2021-10-02T17:00:00,ITA,3057,432,3489,89260,92749,-903,3312,4455320,130998,,,4679067,93115007,34378233.0,,27.0,,,4507291.0,171776.0,60372560.0,32742447.0
587,2021-10-03T17:00:00,ITA,2991,431,3422,89545,92967,218,2968,4458036,131031,,,4682034,93400967,34432558.0,,21.0,,,4510102.0,171932.0,60459617.0,32941350.0
588,2021-10-04T17:00:00,ITA,3032,437,3469,88627,92096,-871,1612,4460482,131068,,,4683646,93523181,34458627.0,,22.0,,,4511622.0,172024.0,60510390.0,33012791.0
589,2021-10-05T17:00:00,ITA,2968,433,3401,86898,90299,-1797,2466,4464692,131118,,,4686109,93845463,34515695.0,,18.0,,,4513785.0,172324.0,60615507.0,33229956.0
590,2021-10-06T17:00:00,ITA,2872,415,3287,84960,88247,-2052,3235,4469937,131157,,,4689341,94147236,34573023.0,,24.0,,,4516730.0,172611.0,60748686.0,33398550.0
591,2021-10-07T17:00:00,ITA,2824,403,3227,83946,87173,-1074,2938,4473903,131198,,,4692274,94444592,34626978.0,,24.0,,,4519532.0,172742.0,60863483.0,33581109.0
592,2021-10-08T17:00:00,ITA,2742,383,3125,82801,85926,-1247,3023,4478137,131228,,,4695291,94716158,34679503.0,,17.0,,,4522420.0,172871.0,60971361.0,33744797.0
593,2021-10-09T17:00:00,ITA,2692,367,3059,82243,85302,-624,2748,4481462,131274,,,4698038,95061127,34739517.0,,16.0,,,4524928.0,173110.0,61075375.0,33985752.0
594,2021-10-10T17:00:00,ITA,2651,364,3015,81793,84808,-494,2278,4484207,131301,,,4700316,95331171,34789334.0,,13.0,,,4527045.0,173271.0,61154936.0,34176235.0
595,2021-10-11T17:00:00,ITA,2688,374,3062,81044,84106,-702,1516,4486391,131335,,,4701832,95445947,34815383.0,,18.0,,,4528481.0,173351.0,61203810.0,34242137.0
596,2021-10-12T17:00:00,ITA,2665,370,3035,79511,82546,-1560,2494,4490388,131384,,,4704318,95761232,34869229.0,,21.0,,,4530578.0,173740.0,61308451.0,34452781.0
597,2021-10-13T17:00:00,ITA,2552,367,2919,77532,80451,-2095,2772,4495215,131421,,,4707087,96040177,34924726.0,,19.0,,,4533143.0,173944.0,61428982.0,34611195.0
598,2021-10-14T17:00:00,ITA,2479,359,2838,76530,79368,-1083,2668,4498924,131461,,,4709753,96364791,34985613.0,,22.0,,,4535597.0,174156.0,61540896.0,34823895.0
599,2021-10-15T17:00:00,ITA,2445,357,2802,75720,78522,-846,2732,4502457,131503,,,4712482,96870834,35086597.0,,20.0,,,4538022.0,174460.0,61650555.0,35220279.0
600,2021-10-16T17:00:00,ITA,2371,352,2723,75348,78071,-451,2983,4505876,131517,,,4715464,97343369,35176565.0,,12.0,,,4540707.0,174757.0,61765276.0,35578093.0
601,2021-10-17T17:00:00,ITA,2386,349,2735,74834,77569,-502,2437,4508789,131541,,,4717899,97724420,35237861.0,,15.0,,,4543006.0,174893.0,61844834.0,35879586.0
602,2021-10-18T17:00:00,ITA,2428,358,2786,73577,76363,-1206,1597,4511545,131585,,,4719493,97944298,35273695.0,,26.0,,,4544439.0,175054.0,61889258.0,36055040.0
603,2021-10-19T17:00:00,ITA,2423,355,2778,71768,74546,-1817,2697,4515987,131655,,,4722188,98606298,35359040.0,,27.0,,,4546700.0,175488.0,62002436.0,36603862.0
604,2021-10-20T17:00:00,ITA,2464,355,2819,70849,73668,-878,3702,4520531,131688,,,4725887,99091911,35430796.0,,25.0,,,4550114.0,175773.0,62124122.0,36967789.0
605,2021-10-21T17:00:00,ITA,2439,356,2795,70955,73750,82,3794,4524204,131724,,,4729678,99666582,35496496.0,,22.0,,,4553566.0,176112.0,62238970.0,37427612.0
606,2021-10-22T17:00:00,ITA,2443,343,2786,70943,73729,-21,3882,4528065,131763,,,4733557,100153800,35560633.0,,22.0,,,4557247.0,176310.0,62351624.0,37802176.0
607,2021-10-23T17:00:00,ITA,2455,338,2793,71223,74016,287,3908,4531644,131802,,,4737462,100645374,35624315.0,,20.0,,,4560812.0,176650.0,62457189.0,38188185.0
608,2021-10-24T17:00:00,ITA,2473,341,2814,71961,74775,759,3725,4534584,131826,,,4741185,101049089,35678991.0,,18.0,,,4564348.0,176837.0,62540445.0,38508644.0
609,2021-10-25T17:00:00,ITA,2579,338,2917,71737,74654,-121,2535,4537210,131856,,,4743720,101271474,35709838.0,,16.0,,,4566700.0,177020.0,62589472.0,38682002.0
610,2021-10-26T17:00:00,ITA,2604,341,2945,72101,75046,392,4054,4540823,131904,,,4747773,101911219,35778002.0,,37.0,,,4570236.0,177537.0,62702807.0,39208412.0
611,2021-10-27T17:00:00,ITA,2615,341,2956,72409,75365,319,4598,4545049,131954,,,4752368,102379323,35839956.0,,27.0,,,4574500.0,177868.0,62828246.0,39551077.0
612,2021-10-28T17:00:00,ITA,2609,347,2956,73822,76778,1413,4866,4548449,132004,,,4757231,102949658,35900791.0,,32.0,,,4579059.0,178172.0,62951716.0,39997942.0
613,2021-10-29T17:00:00,ITA,2658,349,3007,75637,78644,1866,5335,4551882,132037,,,4762563,103424436,35959934.0,,18.0,,,4584087.0,178476.0,63079137.0,40345299.0
614,2021-10-30T17:00:00,ITA,2707,346,3053,77328,80381,1737,4878,4554985,132074,,,4767440,103901788,36020618.0,,20.0,,,4588510.0,178930.0,63187420.0,40714368.0
615,2021-10-31T17:00:00,ITA,2754,342,3096,79352,82448,2067,4526,4557417,132100,,,4771965,104251958,36077911.0,,17.0,,,4592777.0,179188.0,63271453.0,40980505.0
616,2021-11-01T17:00:00,ITA,2863,364,3227,80495,83722,1274,2818,4558941,132120,,,4774783,104398683,36105689.0,,33.0,,,4595482.0,179301.0,63316846.0,41081837.0
617,2021-11-02T17:00:00,ITA,2992,385,3377,81070,84447,725,2834,4561006,132161,,,4777614,104637037,36140579.0,,34.0,,,4598052.0,179562.0,63378327.0,41258710.0
618,2021-11-03T17:00:00,ITA,3029,381,3410,81877,85287,840,5188,4565291,132224,,,4782802,105354348,36207265.0,,31.0,,,4602393.0,180409.0,63507841.0,41846507.0
619,2021-11-04T17:00:00,ITA,3045,383,3428,83948,87376,2089,5905,4569045,132283,,,4788704,105868977,36272129.0,,36.0,,,4607812.0,180892.0,63645336.0,42223641.0
620,2021-11-05T17:00:00,ITA,3124,395,3519,86837,90356,2980,6764,4572775,132334,,,4795465,106412391,36334537.0,,37.0,,,4614013.0,181452.0,63773771.0,42638620.0
621,2021-11-06T17:00:00,ITA,3173,392,3565,90128,93693,3337,6764,4576167,132365,,,4802225,106904353,36400705.0,,23.0,,,4620205.0,182020.0,63906880.0,42997473.0
622,2021-11-07T17:00:00,ITA,3215,398,3613,93380,96987,3294,5822,4578669,132385,,,4808047,107339124,36453042.0,,26.0,,,4625604.0,182443.0,64006304.0,43332820.0
623,2021-11-08T17:00:00,ITA,3362,415,3777,94998,98775,1788,4197,4581396,132423,,,4812594,107588239,36489224.0,,35.0,,,4629847.0,182747.0,64068951.0,43519288.0
624,2021-11-09T17:00:00,ITA,3436,421,3857,96348,100205,1430,6032,4586009,132491,,,4818705,108233928,36555207.0,,52.0,,,4635128.0,183577.0,64198051.0,44035877.0
625,2021-11-10T17:00:00,ITA,3447,423,3870,98989,102859,2654,7891,4591328,132551,,,4826738,108721546,36622425.0,,34.0,,,4642418.0,184320.0,64344604.0,44376942.0
626,2021-11-11T17:00:00,ITA,3509,422,3931,102989,106920,4061,8569,4595897,132618,,,4835435,109317358,36687526.0,,37.0,,,4650544.0,184891.0,64490144.0,44827214.0
627,2021-11-12T17:00:00,ITA,3525,445,3970,106689,110659,3739,8516,4600612,132686,,,4843957,109816293,36751114.0,,47.0,,,4658259.0,185698.0,64623457.0,45192836.0
628,2021-11-13T17:00:00,ITA,3597,453,4050,111062,115112,4453,8544,4604645,132739,,,4852496,110356664,36818073.0,,39.0,,,4665891.0,186605.0,64758767.0,45597897.0
629,2021-11-14T17:00:00,ITA,3647,458,4105,115125,119230,4118,7569,4608056,132775,,,4860061,110802257,36876596.0,,29.0,,,4672800.0,187261.0,64864335.0,45937922.0
630,2021-11-15T17:00:00,ITA,3808,475,4283,116592,120875,1645,5144,4611566,132819,,,4865260,111051082,36911565.0,,41.0,,,4677651.0,187609.0,64929977.0,46121105.0
631,2021-11-16T17:00:00,ITA,3970,481,4451,118945,123396,2521,7698,4616786,132893,,,4873075,111735792,36983718.0,,41.0,,,4684065.0,189010.0,65078921.0,46656871.0
632,2021-11-17T17:00:00,ITA,4060,486,4546,122539,127085,3689,10172,4623192,132965,,,4883242,112273557,37055239.0,,39.0,,,4693144.0,190098.0,65254872.0,47018685.0
633,2021-11-18T17:00:00,ITA,4088,503,4591,127922,132513,5428,10638,4628340,133034,,,4893887,112899331,37126648.0,,55.0,,,4702837.0,191050.0,65417133.0,47482198.0
634,2021-11-19T17:00:00,ITA,4145,512,4657,132473,137130,4617,10544,4634229,133082,,,4904441,113437819,37198784.0,,39.0,,,4712509.0,191932.0,65576766.0,47861053.0
635,2021-11-20T17:00:00,ITA,4250,512,4762,138639,143401,6271,11555,4639449,133131,,,4915981,114012631,37274564.0,,50.0,,,4722639.0,193342.0,65732775.0,48279856.0
636,2021-11-21T17:00:00,ITA,4345,520,4865,143895,148760,5359,9709,4643751,133177,,,4925688,114499740,37340316.0,,35.0,,,4731444.0,194244.0,65859791.0,48639949.0
637,2021-11-22T17:00:00,ITA,4507,549,5056,146458,151514,2754,6404,4647330,133247,,,4932091,114767310,37377595.0,,54.0,,,4737392.0,194699.0,65933097.0,48834213.0
638,2021-11-23T17:00:00,ITA,4597,560,5157,149353,154510,2996,10047,4654295,133330,,,4942135,115456590,37452240.0,,61.0,,,4745794.0,196341.0,66090711.0,49365879.0
639,2021-11-24T17:00:00,ITA,4629,573,5202,154115,159317,4807,12448,4661853,133415,,,4954585,116019095,37530712.0,,49.0,,,4756693.0,197892.0,66278086.0,49741009.0
640,2021-11-25T17:00:00,ITA,4689,588,5277,161321,166598,7281,13764,4668257,133486,,,4968341,116669093,37610375.0,,57.0,,,4769052.0,199289.0,66454367.0,50214726.0
641,2021-11-26T17:00:00,ITA,4748,606,5354,167264,172618,6020,13686,4675867,133537,,,4982022,117226273,37686249.0,,58.0,,,4781272.0,200750.0,66622177.0,50604096.0
642,2021-11-27T17:00:00,ITA,4826,624,5450,173496,178946,6328,12877,4682318,133627,,,4994891,117823171,37757547.0,,68.0,,,4793225.0,201666.0,66793350.0,51029821.0
643,2021-11-28T17:00:00,ITA,4964,638,5602,180841,186443,7497,12932,4687701,133674,,,5007818,118335763,37837579.0,,39.0,,,4804631.0,203187.0,66928963.0,51406800.0
644,2021-11-29T17:00:00,ITA,5135,669,5804,183839,189643,3200,7975,4692408,133739,,,5015790,118611763,37877849.0,,58.0,,,4811791.0,203999.0,67009417.0,51602346.0
645,2021-11-30T17:00:00,ITA,5227,683,5910,188360,194270,4627,12764,4700449,133828,,,5028547,119331735,37958214.0,,64.0,,,4821623.0,206924.0,67180429.0,52151306.0
646,2021-12-01T17:00:00,ITA,5248,686,5934,193849,199783,5513,15085,4709906,133931,,,5043620,119905510,38042146.0,,62.0,,,4834565.0,209055.0,67376786.0,52528724.0
647,2021-12-02T17:00:00,ITA,5298,698,5996,202875,208871,9088,16806,4717556,134003,,,5060430,120584972,38129601.0,,55.0,,,4849267.0,211163.0,67574694.0,53010278.0
648,2021-12-03T17:00:00,ITA,5385,708,6093,210061,216154,7283,17030,4727214,134077,,,5077445,121173417,38213164.0,,60.0,,,4864069.0,213376.0,67759212.0,53414205.0
649,2021-12-04T17:00:00,ITA,5428,732,6160,217558,223718,7564,16632,4736202,134152,,,5094072,121810009,38301193.0,,59.0,,,4879346.0,214726.0,67938532.0,53871477.0
650,2021-12-05T17:00:00,ITA,5597,736,6333,225667,232000,8282,15021,4742887,134195,,,5109082,122335117,38373389.0,,45.0,,,4891645.0,217437.0,68082495.0,54252622.0
651,2021-12-06T17:00:00,ITA,5879,743,6622,229213,235835,3835,9503,4748454,134287,,,5118576,122636677,38416484.0,,45.0,,,4900148.0,218428.0,68170338.0,54466339.0
652,2021-12-07T17:00:00,ITA,6078,776,6854,234040,240894,5059,15756,4759038,134386,,,5134318,123331813,38496689.0,,89.0,,,4912021.0,222297.0,68339652.0,54992161.0
653,2021-12-08T17:00:00,ITA,6099,791,6890,242324,249214,8320,17959,4768578,134472,,,5152264,123896511,38578774.0,,62.0,,,4927371.0,224893.0,68530979.0,55365532.0
654,2021-12-09T17:00:00,ITA,6333,811,7144,247409,254553,5339,12527,4775676,134551,,,5164780,124209339,38628455.0,,69.0,,,4938576.0,226204.0,68639490.0,55569849.0
655,2021-12-10T17:00:00,ITA,6483,816,7299,255849,263148,8595,20497,4787453,134669,,,5185270,124925626,38715745.0,,76.0,,,4955026.0,230244.0,68822803.0,56102823.0
656,2021-12-11T17:00:00,ITA,6539,818,7357,266525,273882,10734,21042,4797658,134765,,,5206305,125490703,38805999.0,,76.0,,,4972406.0,233899.0,69019027.0,56471676.0
657,2021-12-12T17:00:00,ITA,6697,829,7526,277351,284877,10995,19215,4805809,134831,,,5225517,125992518,38880750.0,,54.0,,,4988281.0,237236.0,69174889.0,56817629.0
658,2021-12-13T17:00:00,ITA,6951,856,7807,282950,290757,5880,12712,4812535,134929,,,5238221,126306054,38925453.0,,60.0,,,4999503.0,238718.0,69269958.0,57036096.0
659,2021-12-14T17:00:00,ITA,7163,863,8026,289368,297394,6637,20677,4826443,135049,,,5258886,127082617,39017409.0,,93.0,,,5014587.0,244299.0,69458008.0,57624609.0
660,2021-12-15T17:00:00,ITA,7309,870,8179,297474,305653,8259,23195,4841245,135178,,,5282076,127717255,39110490.0,,84.0,,,5033424.0,248652.0,69677195.0,58040060.0
661,2021-12-16T17:00:00,ITA,7338,917,8255,309675,317930,12277,26109,4854949,135301,,,5308180,128435536,39209761.0,,101.0,,,5055500.0,252680.0,69890580.0,58544956.0
662,2021-12-17T17:00:00,ITA,7520,923,8443,323525,331968,14038,28632,4869406,135421,,,5336795,129104696,39306093.0,,70.0,,,5078138.0,258657.0,70101368.0,59003328.0
663,2021-12-18T17:00:00,ITA,7576,953,8529,338943,347472,15504,28064,4881836,135544,,,5364852,129802436,39408093.0,,95.0,,,5100360.0,264492.0,70319725.0,59482711.0
664,2021-12-19T17:00:00,ITA,7726,966,8692,353583,362275,14803,24259,4891239,135641,,,5389155,130368736,39493154.0,,78.0,,,5119657.0,269498.0,70495451.0,59873285.0
665,2021-12-20T17:00:00,ITA,8101,987,9088,360615,369703,7428,16213,4899879,135778,,,5405360,130705958,39537534.0,,73.0,,,5133125.0,272235.0,70598903.0,60107055.0
666,2021-12-21T17:00:00,ITA,8381,1012,9393,374751,384144,14441,30798,4916068,135931,,,5436143,131557823,39648036.0,,96.0,,,5153722.0,282421.0,70810613.0,60747210.0
667,2021-12-22T17:00:00,ITA,8544,1010,9554,393175,402729,18585,36293,4933663,136077,,,5472469,132337126,39766135.0,,92.0,,,5179314.0,293155.0,71055692.0,61281434.0
668,2021-12-23T17:00:00,ITA,8722,1023,9745,420284,430029,27300,44595,4950780,136245,,,5517054,133238576,39900805.0,,93.0,,,5211207.0,305847.0,71317437.0,61921139.0
669,2021-12-24T17:00:00,ITA,8812,1038,9850,450824,460674,30645,50599,4970584,136386,,,5567644,134168351,40062609.0,,102.0,,,5246587.0,321057.0,71595127.0,62573224.0
670,2021-12-25T17:00:00,ITA,8892,1071,9963,490503,500466,39792,54762,4985435,136530,,,5622431,135138103,40214187.0,,106.0,,,5285835.0,336596.0,71860000.0,63278103.0
671,2021-12-26T17:00:00,ITA,9220,1089,10309,506530,516839,16373,24883,4993863,136611,,,5647313,135355155,40263888.0,,85.0,,,5308366.0,338947.0,71974179.0,63380976.0
672,2021-12-27T17:00:00,ITA,9723,1126,10849,526655,537504,20665,30810,5003855,136753,,,5678112,135699123,40327460.0,,100.0,,,5329644.0,348468.0,72087933.0,63611190.0
673,2021-12-28T17:00:00,ITA,10089,1145,11234,587634,598868,61364,78313,5020601,136943,,,5756412,136733800,40495149.0,,119.0,,,5370720.0,385692.0,72335409.0,64398391.0
674,2021-12-29T17:00:00,ITA,10578,1185,11763,663102,674865,75997,98030,5042472,137091,,,5854428,137763229,40689614.0,,126.0,,,5430667.0,423761.0,72652945.0,65110284.0
675,2021-12-30T17:00:00,ITA,10866,1226,12092,767371,779463,104598,126888,5064718,137247,,,5981428,138913581,40905632.0,,134.0,,,5507443.0,473985.0,72990973.0,65922608.0
676,2021-12-31T17:00:00,ITA,11150,1260,12410,888574,900984,121521,144243,5087297,137402,,,6125683,140137606,41145671.0,,119.0,,,5587230.0,538453.0,73357137.0,66780469.0
677,2022-01-01T17:00:00,ITA,11265,1297,12562,1009231,1021793,120809,141358,5107729,137513,,,6267035,141268542,41329516.0,,135.0,,,5666599.0,600436.0,73690819.0,67577723.0
678,2022-01-02T17:00:00,ITA,11756,1319,13075,1057462,1070537,48744,61046,5119893,137646,,,6328076,141547196,41421590.0,,104.0,,,5714553.0,613523.0,73856391.0,67690805.0
679,2022-01-03T17:00:00,ITA,12333,1351,13684,1111368,1125052,54515,68052,5133272,137786,,,6396110,141992517,41510822.0,,103.0,,,5759069.0,637041.0,74013084.0,67979433.0
680,2022-01-04T17:00:00,ITA,12912,1392,14304,1250993,1265297,140245,170844,5163605,138045,,,6566947,143220927,41719220.0,,153.0,,,5826648.0,740299.0,74299160.0,68921767.0
